gioitinh,xeploai_tt,hocky,namhoc,drltl,sotchk,dtbhk_truoc,xeploai,khuvuc_encoded,namnhaphoc,chuyennganh2_encoded,hedt_encoded,khoa_encoded
0,4,2,2019,5,21,8.84,4,3,2019,9.0,2,1
0,4,1,2020,5,15,9.0,4,3,2019,9.0,2,1
0,4,2,2020,5,19,9.11,3,3,2019,9.0,2,1
0,4,1,2021,5,20,8.75,3,3,2019,9.0,2,1
0,4,2,2021,5,20,8.54,3,3,2019,9.0,2,1
0,4,1,2022,5,9,8.74,3,3,2019,9.0,2,1
1,1,2,2018,5,20,8.85,3,4,2018,4.0,0,0
1,1,1,2019,5,15,8.64,3,4,2018,4.0,0,0
1,1,2,2019,5,20,8.41,3,4,2018,4.0,0,0
1,1,1,2020,5,20,8.05,2,4,2018,4.0,0,0
1,1,2,2020,5,19,7.46,2,4,2018,4.0,0,0
1,1,1,2021,4,15,7.28,3,4,2018,4.0,0,0
1,1,2,2021,4,10,8.55,2,4,2018,4.0,0,0
1,2,2,2018,5,25,8.31,3,6,2018,2.0,2,2
1,2,1,2019,5,23,8.14,2,6,2018,2.0,2,2
1,2,2,2019,3,22,7.01,2,6,2018,2.0,2,2
1,2,1,2020,4,22,7.87,3,6,2018,2.0,2,2
1,2,2,2020,5,15,8.04,3,6,2018,2.0,2,2
1,2,1,2021,5,12,8.89,3,6,2018,2.0,2,2
1,2,2,2019,5,23,7.96,3,7,2019,2.0,0,2
1,2,1,2020,5,18,0.0,2,7,2019,2.0,0,2
1,2,2,2020,5,22,6.91,3,7,2019,2.0,0,2
1,2,1,2021,5,23,8.49,3,7,2019,2.0,0,2
1,2,2,2021,5,22,8.85,2,7,2019,2.0,0,2
1,4,2,2013,3,19,3.77,1,4,2013,2.0,2,2
1,4,2,2013,3,19,5.87,1,4,2013,2.0,2,2
1,4,1,2014,3,18,5.17,0,4,2013,2.0,2,2
1,4,1,2014,3,18,4.36,0,4,2013,2.0,2,2
1,4,2,2014,1,23,4.36,0,4,2013,2.0,2,2
1,4,2,2017,3,20,6.58,0,3,2017,4.0,2,0
1,4,1,2018,3,14,1.9,2,3,2017,4.0,2,0
1,4,2,2018,2,18,7.16,0,3,2017,4.0,2,0
1,4,1,2019,2,8,3.8,0,3,2017,4.0,2,0
1,4,2,2019,3,12,1.1,1,3,2017,4.0,2,0
1,4,1,2020,3,24,6.27,1,3,2017,4.0,2,0
1,4,2,2020,3,21,5.22,0,3,2017,4.0,2,0
1,4,1,2021,4,23,4.93,2,3,2017,4.0,2,0
1,4,2,2021,3,20,7.1,0,3,2017,4.0,2,0
1,4,1,2022,2,24,4.07,0,3,2017,4.0,2,0
1,2,2,2019,4,19,8.21,4,7,2019,2.0,0,2
1,2,1,2020,4,23,9.34,2,7,2019,2.0,0,2
1,2,2,2020,4,22,7.93,2,7,2019,2.0,0,2
1,2,1,2021,5,20,7.92,3,7,2019,2.0,0,2
1,2,2,2021,4,12,8.89,3,7,2019,2.0,0,2
1,2,1,2022,5,10,8.63,4,7,2019,2.0,0,2
1,0,2,2018,4,23,4.99,0,6,2018,10.0,0,5
1,0,1,2019,2,17,4.42,1,6,2018,10.0,0,5
1,0,2,2019,2,15,5.26,1,6,2018,10.0,0,5
1,0,1,2020,2,23,5.63,0,6,2018,10.0,0,5
1,0,2,2020,2,15,3.63,0,6,2018,10.0,0,5
1,0,1,2021,3,13,2.54,1,6,2018,10.0,0,5
1,0,2,2021,2,20,5.01,1,6,2018,10.0,0,5
1,0,1,2022,2,21,5.05,0,6,2018,10.0,0,5
1,3,2,2018,3,18,6.86,1,6,2018,7.0,0,5
1,3,1,2019,2,23,5.51,0,6,2018,7.0,0,5
1,3,2,2019,2,19,4.85,0,6,2018,7.0,0,5
1,3,1,2020,3,23,4.58,0,6,2018,7.0,0,5
1,3,2,2020,3,10,3.69,0,6,2018,7.0,0,5
1,3,2,2017,3,20,4.16,0,7,2017,6.0,2,4
1,3,1,2018,3,16,5.43,0,7,2017,6.0,2,4
1,3,2,2018,3,10,3.53,0,7,2017,6.0,2,4
1,3,1,2019,4,13,6.2,0,7,2017,6.0,2,4
